Freq.	1/I(Vin)
1.01130113011301e+05	-2.98140247376936e-03,-3.10114957752473e+00
1.01140114011401e+05	-2.98252289145285e-03,-3.10459036092972e+00
1.01150115011501e+05	-2.98364609639781e-03,-3.10803224425191e+00
1.01160116011601e+05	-2.98477209200598e-03,-3.11147523094872e+00
1.01170117011701e+05	-2.98590088169197e-03,-3.11491932448153e+00
1.01180118011801e+05	-2.98703246888322e-03,-3.11836452831570e+00
1.01190119011901e+05	-2.98816685702008e-03,-3.12181084592056e+00
1.01200120012001e+05	-2.98930404955582e-03,-3.12525828076945e+00
1.01210121012101e+05	-2.99044404995666e-03,-3.12870683633974e+00
1.01220122012201e+05	-2.99158686170182e-03,-3.13215651611284e+00
1.01230123012301e+05	-2.99273248828350e-03,-3.13560732357417e+00
1.01240124012401e+05	-2.99388093320698e-03,-3.13905926221328e+00
1.01250125012501e+05	-2.99503219999061e-03,-3.14251233552374e+00
1.01260126012601e+05	-2.99618629216583e-03,-3.14596654700326e+00
1.01270127012701e+05	-2.99734321327724e-03,-3.14942190015366e+00
1.01280128012801e+05	-2.99850296688259e-03,-3.15287839848089e+00
1.01290129012901e+05	-2.99966555655286e-03,-3.15633604549503e+00
1.01300130013001e+05	-3.00083098587223e-03,-3.15979484471036e+00
1.01310131013101e+05	-3.00199925843817e-03,-3.16325479964532e+00
1.01320132013201e+05	-3.00317037786143e-03,-3.16671591382253e+00
1.01330133013301e+05	-3.00434434776611e-03,-3.17017819076885e+00
1.01340134013401e+05	-3.00552117178965e-03,-3.17364163401538e+00
1.01350135013501e+05	-3.00670085358290e-03,-3.17710624709744e+00
1.01360136013601e+05	-3.00788339681012e-03,-3.18057203355462e+00
1.01370137013701e+05	-3.00906880514904e-03,-3.18403899693081e+00
1.01380138013801e+05	-3.01025708229088e-03,-3.18750714077416e+00
1.01390139013901e+05	-3.01144823194039e-03,-3.19097646863716e+00
1.01400140014001e+05	-3.01264225781585e-03,-3.19444698407664e+00
1.01410141014101e+05	-3.01383916364918e-03,-3.19791869065375e+00
1.01420142014201e+05	-3.01503895318588e-03,-3.20139159193402e+00
1.01430143014301e+05	-3.01624163018514e-03,-3.20486569148736e+00
1.01440144014401e+05	-3.01744719841980e-03,-3.20834099288806e+00
1.01450145014501e+05	-3.01865566167647e-03,-3.21181749971485e+00
1.01460146014601e+05	-3.01986702375549e-03,-3.21529521555088e+00
1.01470147014701e+05	-3.02108128847102e-03,-3.21877414398375e+00
1.01480148014801e+05	-3.02229845965102e-03,-3.22225428860551e+00
1.01490149014901e+05	-3.02351854113732e-03,-3.22573565301273e+00
1.01500150015001e+05	-3.02474153678567e-03,-3.22921824080644e+00
1.01510151015101e+05	-3.02596745046571e-03,-3.23270205559220e+00
1.01520152015201e+05	-3.02719628606108e-03,-3.23618710098012e+00
1.01530153015301e+05	-3.02842804746940e-03,-3.23967338058482e+00
1.01540154015401e+05	-3.02966273860236e-03,-3.24316089802556e+00
1.01550155015501e+05	-3.03090036338568e-03,-3.24664965692612e+00
1.01560156015601e+05	-3.03214092575921e-03,-3.25013966091491e+00
1.01570157015701e+05	-3.03338442967695e-03,-3.25363091362495e+00
1.01580158015801e+05	-3.03463087910705e-03,-3.25712341869390e+00
1.01590159015901e+05	-3.03588027803192e-03,-3.26061717976411e+00
1.01600160016001e+05	-3.03713263044818e-03,-3.26411220048255e+00
1.01610161016101e+05	-3.03838794036676e-03,-3.26760848450092e+00
1.01620162016201e+05	-3.03964621181290e-03,-3.27110603547560e+00
1.01630163016301e+05	-3.04090744882621e-03,-3.27460485706772e+00
1.01640164016401e+05	-3.04217165546071e-03,-3.27810495294315e+00
1.01650165016501e+05	-3.04343883578482e-03,-3.28160632677250e+00
1.01660166016601e+05	-3.04470899388147e-03,-3.28510898223119e+00
1.01670167016701e+05	-3.04598213384808e-03,-3.28861292299942e+00
1.01680168016801e+05	-3.04725825979662e-03,-3.29211815276222e+00
1.01690169016901e+05	-3.04853737585363e-03,-3.29562467520942e+00
1.01700170017001e+05	-3.04981948616029e-03,-3.29913249403575e+00
1.01710171017101e+05	-3.05110459487244e-03,-3.30264161294076e+00
1.01720172017201e+05	-3.05239270616061e-03,-3.30615203562892e+00
1.01730173017301e+05	-3.05368382421007e-03,-3.30966376580961e+00
1.01740174017401e+05	-3.05497795322086e-03,-3.31317680719710e+00
1.01750175017501e+05	-3.05627509740784e-03,-3.31669116351065e+00
1.01760176017601e+05	-3.05757526100071e-03,-3.32020683847443e+00
1.01770177017701e+05	-3.05887844824409e-03,-3.32372383581763e+00
1.01780178017801e+05	-3.06018466339748e-03,-3.32724215927439e+00
1.01790179017901e+05	-3.06149391073541e-03,-3.33076181258393e+00
1.01800180018001e+05	-3.06280619454739e-03,-3.33428279949047e+00
1.01810181018101e+05	-3.06412151913795e-03,-3.33780512374325e+00
1.01820182018201e+05	-3.06543988882676e-03,-3.34132878909664e+00
1.01830183018301e+05	-3.06676130794858e-03,-3.34485379931006e+00
1.01840184018401e+05	-3.06808578085337e-03,-3.34838015814807e+00
1.01850185018501e+05	-3.06941331190628e-03,-3.35190786938032e+00
1.01860186018601e+05	-3.07074390548770e-03,-3.35543693678165e+00
1.01870187018701e+05	-3.07207756599333e-03,-3.35896736413200e+00
1.01880188018801e+05	-3.07341429783420e-03,-3.36249915521657e+00
1.01890189018901e+05	-3.07475410543671e-03,-3.36603231382571e+00
1.01900190019001e+05	-3.07609699324265e-03,-3.36956684375502e+00
1.01910191019101e+05	-3.07744296570930e-03,-3.37310274880531e+00
1.01920192019201e+05	-3.07879202730944e-03,-3.37664003278269e+00
1.01930193019301e+05	-3.08014418253134e-03,-3.38017869949852e+00
1.01940194019401e+05	-3.08149943587889e-03,-3.38371875276946e+00
1.01950195019501e+05	-3.08285779187159e-03,-3.38726019641749e+00
1.01960196019601e+05	-3.08421925504462e-03,-3.39080303426993e+00
1.01970197019701e+05	-3.08558382994885e-03,-3.39434727015947e+00
1.01980198019801e+05	-3.08695152115090e-03,-3.39789290792416e+00
1.01990199019901e+05	-3.08832233323320e-03,-3.40143995140743e+00
1.02000200020001e+05	-3.08969627079398e-03,-3.40498840445813e+00
1.02010201020101e+05	-3.09107333844740e-03,-3.40853827093058e+00
1.02020202020201e+05	-3.09245354082351e-03,-3.41208955468451e+00
1.02030203020301e+05	-3.09383688256832e-03,-3.41564225958514e+00
1.02040204020401e+05	-3.09522336834387e-03,-3.41919638950318e+00
1.02050205020501e+05	-3.09661300282825e-03,-3.42275194831488e+00
1.02060206020601e+05	-3.09800579071564e-03,-3.42630893990195e+00
1.02070207020701e+05	-3.09940173671638e-03,-3.42986736815174e+00
1.02080208020801e+05	-3.10080084555697e-03,-3.43342723695710e+00
1.02090209020901e+05	-3.10220312198016e-03,-3.43698855021651e+00
1.02100210021001e+05	-3.10360857074497e-03,-3.44055131183406e+00
1.02110211021101e+05	-3.10501719662677e-03,-3.44411552571948e+00
1.02120212021201e+05	-3.10642900441725e-03,-3.44768119578811e+00
1.02130213021301e+05	-3.10784399892454e-03,-3.45124832596100e+00
1.02140214021401e+05	-3.10926218497324e-03,-3.45481692016488e+00
1.02150215021501e+05	-3.11068356740443e-03,-3.45838698233220e+00
1.02160216021601e+05	-3.11210815107575e-03,-3.46195851640113e+00
1.02170217021701e+05	-3.11353594086145e-03,-3.46553152631563e+00
1.02180218021801e+05	-3.11496694165241e-03,-3.46910601602538e+00
1.02190219021901e+05	-3.11640115835620e-03,-3.47268198948589e+00
1.02200220022001e+05	-3.11783859589713e-03,-3.47625945065846e+00
1.02210221022101e+05	-3.11927925921631e-03,-3.47983840351027e+00
1.02220222022201e+05	-3.12072315327166e-03,-3.48341885201430e+00
1.02230223022301e+05	-3.12217028303799e-03,-3.48700080014947e+00
1.02240224022401e+05	-3.12362065350703e-03,-3.49058425190053e+00
1.02250225022501e+05	-3.12507426968749e-03,-3.49416921125819e+00
1.02260226022601e+05	-3.12653113660513e-03,-3.49775568221911e+00
1.02270227022701e+05	-3.12799125930273e-03,-3.50134366878588e+00
1.02280228022801e+05	-3.12945464284023e-03,-3.50493317496709e+00
1.02290229022901e+05	-3.13092129229473e-03,-3.50852420477732e+00
1.02300230023001e+05	-3.13239121276054e-03,-3.51211676223718e+00
1.02310231023101e+05	-3.13386440934925e-03,-3.51571085137335e+00
1.02320232023201e+05	-3.13534088718975e-03,-3.51930647621853e+00
1.02330233023301e+05	-3.13682065142831e-03,-3.52290364081154e+00
1.02340234023401e+05	-3.13830370722864e-03,-3.52650234919731e+00
1.02350235023501e+05	-3.13979005977186e-03,-3.53010260542689e+00
1.02360236023601e+05	-3.14127971425665e-03,-3.53370441355747e+00
1.02370237023701e+05	-3.14277267589925e-03,-3.53730777765245e+00
1.02380238023801e+05	-3.14426894993351e-03,-3.54091270178139e+00
1.02390239023901e+05	-3.14576854161094e-03,-3.54451919002008e+00
1.02400240024001e+05	-3.14727145620082e-03,-3.54812724645057e+00
1.02410241024101e+05	-3.14877769899014e-03,-3.55173687516114e+00
1.02420242024201e+05	-3.15028727528374e-03,-3.55534808024636e+00
1.02430243024301e+05	-3.15180019040434e-03,-3.55896086580712e+00
1.02440244024401e+05	-3.15331644969258e-03,-3.56257523595061e+00
1.02450245024501e+05	-3.15483605850709e-03,-3.56619119479041e+00
1.02460246024601e+05	-3.15635902222451e-03,-3.56980874644643e+00
1.02470247024701e+05	-3.15788534623959e-03,-3.57342789504499e+00
1.02480248024801e+05	-3.15941503596521e-03,-3.57704864471885e+00
1.02490249024901e+05	-3.16094809683243e-03,-3.58067099960714e+00
1.02500250025001e+05	-3.16248453429056e-03,-3.58429496385553e+00
1.02510251025101e+05	-3.16402435380722e-03,-3.58792054161612e+00
1.02520252025201e+05	-3.16556756086836e-03,-3.59154773704753e+00
1.02530253025301e+05	-3.16711416097836e-03,-3.59517655431493e+00
1.02540254025401e+05	-3.16866415966005e-03,-3.59880699759000e+00
1.02550255025501e+05	-3.17021756245477e-03,-3.60243907105103e+00
1.02560256025601e+05	-3.17177437492243e-03,-3.60607277888287e+00
1.02570257025701e+05	-3.17333460264157e-03,-3.60970812527704e+00
1.02580258025801e+05	-3.17489825120941e-03,-3.61334511443164e+00
1.02590259025901e+05	-3.17646532624191e-03,-3.61698375055148e+00
1.02600260026001e+05	-3.17803583337381e-03,-3.62062403784806e+00
1.02610261026101e+05	-3.17960977825871e-03,-3.62426598053955e+00
1.02620262026201e+05	-3.18118716656909e-03,-3.62790958285090e+00
1.02630263026301e+05	-3.18276800399643e-03,-3.63155484901378e+00
1.02640264026401e+05	-3.18435229625119e-03,-3.63520178326668e+00
1.02650265026501e+05	-3.18594004906292e-03,-3.63885038985486e+00
1.02660266026601e+05	-3.18753126818031e-03,-3.64250067303044e+00
1.02670267026701e+05	-3.18912595937121e-03,-3.64615263705235e+00
1.02680268026801e+05	-3.19072412842274e-03,-3.64980628618642e+00
1.02690269026901e+05	-3.19232578114132e-03,-3.65346162470540e+00
1.02700270027001e+05	-3.19393092335273e-03,-3.65711865688893e+00
1.02710271027101e+05	-3.19553956090218e-03,-3.66077738702360e+00
1.02720272027201e+05	-3.19715169965434e-03,-3.66443781940300e+00
1.02730273027301e+05	-3.19876734549342e-03,-3.66809995832765e+00
1.02740274027401e+05	-3.20038650432325e-03,-3.67176380810517e+00
1.02750275027501e+05	-3.20200918206731e-03,-3.67542937305018e+00
1.02760276027601e+05	-3.20363538466877e-03,-3.67909665748434e+00
1.02770277027701e+05	-3.20526511809061e-03,-3.68276566573646e+00
1.02780278027801e+05	-3.20689838831565e-03,-3.68643640214244e+00
1.02790279027901e+05	-3.20853520134656e-03,-3.69010887104530e+00
1.02800280028001e+05	-3.21017556320602e-03,-3.69378307679525e+00
1.02810281028101e+05	-3.21181947993671e-03,-3.69745902374967e+00
1.02820282028201e+05	-3.21346695760138e-03,-3.70113671627317e+00
1.02830283028301e+05	-3.21511800228294e-03,-3.70481615873760e+00
1.02840284028401e+05	-3.21677262008451e-03,-3.70849735552207e+00
1.02850285028501e+05	-3.21843081712944e-03,-3.71218031101295e+00
1.02860286028601e+05	-3.22009259956144e-03,-3.71586502960397e+00
1.02870287028701e+05	-3.22175797354459e-03,-3.71955151569617e+00
1.02880288028801e+05	-3.22342694526346e-03,-3.72323977369795e+00
1.02890289028901e+05	-3.22509952092309e-03,-3.72692980802510e+00
1.02900290029001e+05	-3.22677570674914e-03,-3.73062162310085e+00
1.02910291029101e+05	-3.22845550898789e-03,-3.73431522335583e+00
1.02920292029201e+05	-3.23013893390633e-03,-3.73801061322818e+00
1.02930293029301e+05	-3.23182598779224e-03,-3.74170779716347e+00
1.02940294029401e+05	-3.23351667695421e-03,-3.74540677961484e+00
1.02950295029501e+05	-3.23521100772176e-03,-3.74910756504295e+00
1.02960296029601e+05	-3.23690898644534e-03,-3.75281015791600e+00
1.02970297029701e+05	-3.23861061949648e-03,-3.75651456270985e+00
1.02980298029801e+05	-3.24031591326777e-03,-3.76022078390791e+00
1.02990299029901e+05	-3.24202487417298e-03,-3.76392882600126e+00
1.03000300030001e+05	-3.24373750864710e-03,-3.76763869348866e+00
1.03010301030101e+05	-3.24545382314644e-03,-3.77135039087657e+00
1.03020302030201e+05	-3.24717382414862e-03,-3.77506392267915e+00
1.03030303030301e+05	-3.24889751815276e-03,-3.77877929341833e+00
1.03040304030401e+05	-3.25062491167942e-03,-3.78249650762378e+00
1.03050305030501e+05	-3.25235601127076e-03,-3.78621556983303e+00
1.03060306030601e+05	-3.25409082349056e-03,-3.78993648459140e+00
1.03070307030701e+05	-3.25582935492430e-03,-3.79365925645206e+00
1.03080308030801e+05	-3.25757161217923e-03,-3.79738388997608e+00
1.03090309030901e+05	-3.25931760188444e-03,-3.80111038973245e+00
1.03100310031001e+05	-3.26106733069092e-03,-3.80483876029805e+00
1.03110311031101e+05	-3.26282080527167e-03,-3.80856900625777e+00
1.03120312031201e+05	-3.26457803232169e-03,-3.81230113220447e+00
1.03130313031301e+05	-3.26633901855812e-03,-3.81603514273902e+00
1.03140314031401e+05	-3.26810377072030e-03,-3.81977104247034e+00
1.03150315031501e+05	-3.26987229556981e-03,-3.82350883601544e+00
1.03160316031601e+05	-3.27164459989055e-03,-3.82724852799939e+00
1.03170317031701e+05	-3.27342069048884e-03,-3.83099012305542e+00
1.03180318031801e+05	-3.27520057419347e-03,-3.83473362582489e+00
1.03190319031901e+05	-3.27698425785576e-03,-3.83847904095736e+00
1.03200320032001e+05	-3.27877174834966e-03,-3.84222637311060e+00
1.03210321032101e+05	-3.28056305257180e-03,-3.84597562695060e+00
1.03220322032201e+05	-3.28235817744157e-03,-3.84972680715162e+00
1.03230323032301e+05	-3.28415712990118e-03,-3.85347991839621e+00
1.03240324032401e+05	-3.28595991691579e-03,-3.85723496537526e+00
1.03250325032501e+05	-3.28776654547350e-03,-3.86099195278799e+00
1.03260326032602e+05	-3.28957702258548e-03,-3.86475088534201e+00
1.03270327032702e+05	-3.29139135528602e-03,-3.86851176775332e+00
1.03280328032802e+05	-3.29320955063264e-03,-3.87227460474638e+00
1.03290329032902e+05	-3.29503161570610e-03,-3.87603940105407e+00
1.03300330033002e+05	-3.29685755761056e-03,-3.87980616141781e+00
1.03310331033102e+05	-3.29868738347358e-03,-3.88357489058751e+00
1.03320332033202e+05	-3.30052110044621e-03,-3.88734559332163e+00
1.03330333033302e+05	-3.30235871570313e-03,-3.89111827438723e+00
1.03340334033402e+05	-3.30420023644264e-03,-3.89489293855995e+00
1.03350335033502e+05	-3.30604566988680e-03,-3.89866959062409e+00
1.03360336033602e+05	-3.30789502328147e-03,-3.90244823537259e+00
1.03370337033702e+05	-3.30974830389641e-03,-3.90622887760710e+00
1.03380338033802e+05	-3.31160551902532e-03,-3.91001152213799e+00
1.03390339033902e+05	-3.31346667598601e-03,-3.91379617378441e+00
1.03400340034002e+05	-3.31533178212035e-03,-3.91758283737424e+00
1.03410341034102e+05	-3.31720084479445e-03,-3.92137151774421e+00
1.03420342034202e+05	-3.31907387139869e-03,-3.92516221973987e+00
1.03430343034302e+05	-3.32095086934783e-03,-3.92895494821568e+00
1.03440344034402e+05	-3.32283184608107e-03,-3.93274970803498e+00
1.03450345034502e+05	-3.32471680906212e-03,-3.93654650407001e+00
1.03460346034602e+05	-3.32660576577932e-03,-3.94034534120204e+00
1.03470347034702e+05	-3.32849872374566e-03,-3.94414622432127e+00
1.03480348034802e+05	-3.33039569049894e-03,-3.94794915832695e+00
1.03490349034902e+05	-3.33229667360178e-03,-3.95175414812741e+00
1.03500350035002e+05	-3.33420168064176e-03,-3.95556119864001e+00
1.03510351035102e+05	-3.33611071923142e-03,-3.95937031479126e+00
1.03520352035202e+05	-3.33802379700848e-03,-3.96318150151682e+00
1.03530353035302e+05	-3.33994092163576e-03,-3.96699476376150e+00
1.03540354035402e+05	-3.34186210080140e-03,-3.97081010647934e+00
1.03550355035502e+05	-3.34378734221886e-03,-3.97462753463362e+00
1.03560356035602e+05	-3.34571665362703e-03,-3.97844705319686e+00
1.03570357035702e+05	-3.34765004279034e-03,-3.98226866715092e+00
1.03580358035802e+05	-3.34958751749882e-03,-3.98609238148698e+00
1.03590359035902e+05	-3.35152908556816e-03,-3.98991820120556e+00
1.03600360036002e+05	-3.35347475483984e-03,-3.99374613131661e+00
1.03610361036102e+05	-3.35542453318121e-03,-3.99757617683948e+00
1.03620362036202e+05	-3.35737842848557e-03,-4.00140834280301e+00
1.03630363036302e+05	-3.35933644867221e-03,-4.00524263424549e+00
1.03640364036402e+05	-3.36129860168660e-03,-4.00907905621478e+00
1.03650365036502e+05	-3.36326489550038e-03,-4.01291761376825e+00
1.03660366036602e+05	-3.36523533811149e-03,-4.01675831197289e+00
1.03670367036702e+05	-3.36720993754428e-03,-4.02060115590529e+00
1.03680368036802e+05	-3.36918870184954e-03,-4.02444615065172e+00
1.03690369036902e+05	-3.37117163910465e-03,-4.02829330130810e+00
1.03700370037002e+05	-3.37315875741363e-03,-4.03214261298008e+00
1.03710371037102e+05	-3.37515006490724e-03,-4.03599409078308e+00
1.03720372037202e+05	-3.37714556974308e-03,-4.03984773984228e+00
