Freq.	1/I(Vin)
1.00000000000000e+05	-3.27582618151340e-03,-1.12136064064255e+01
1.00010001000100e+05	-3.27713695190428e-03,-1.12166025991597e+01
1.00020002000200e+05	-3.27844941494141e-03,-1.12196002527566e+01
1.00030003000300e+05	-3.27976357612637e-03,-1.12225993692381e+01
1.00040004000400e+05	-3.28107944098977e-03,-1.12255999506331e+01
1.00050005000500e+05	-3.28239701509143e-03,-1.12286019989771e+01
1.00060006000600e+05	-3.28371630402057e-03,-1.12316055163126e+01
1.00070007000700e+05	-3.28503731339600e-03,-1.12346105046889e+01
1.00080008000800e+05	-3.28636004886634e-03,-1.12376169661622e+01
1.00090009000900e+05	-3.28768451611023e-03,-1.12406249027957e+01
1.00100010001000e+05	-3.28901072083651e-03,-1.12436343166594e+01
1.00110011001100e+05	-3.29033866878445e-03,-1.12466452098306e+01
1.00120012001200e+05	-3.29166836572394e-03,-1.12496575843935e+01
1.00130013001300e+05	-3.29299981745570e-03,-1.12526714424393e+01
1.00140014001400e+05	-3.29433302981152e-03,-1.12556867860665e+01
1.00150015001500e+05	-3.29566800865444e-03,-1.12587036173808e+01
1.00160016001600e+05	-3.29700475987898e-03,-1.12617219384948e+01
1.00170017001700e+05	-3.29834328941135e-03,-1.12647417515289e+01
1.00180018001800e+05	-3.29968360320969e-03,-1.12677630586102e+01
1.00190019001900e+05	-3.30102570726424e-03,-1.12707858618734e+01
1.00200020002000e+05	-3.30236960759765e-03,-1.12738101634607e+01
1.00210021002100e+05	-3.30371531026509e-03,-1.12768359655215e+01
1.00220022002200e+05	-3.30506282135458e-03,-1.12798632702128e+01
1.00230023002300e+05	-3.30641214698717e-03,-1.12828920796988e+01
1.00240024002400e+05	-3.30776329331714e-03,-1.12859223961517e+01
1.00250025002500e+05	-3.30911626653231e-03,-1.12889542217508e+01
1.00260026002600e+05	-3.31047107285421e-03,-1.12919875586833e+01
1.00270027002700e+05	-3.31182771853833e-03,-1.12950224091440e+01
1.00280028002800e+05	-3.31318620987437e-03,-1.12980587753353e+01
1.00290029002900e+05	-3.31454655318646e-03,-1.13010966594675e+01
1.00300030003000e+05	-3.31590875483345e-03,-1.13041360637586e+01
1.00310031003100e+05	-3.31727282120907e-03,-1.13071769904344e+01
1.00320032003200e+05	-3.31863875874227e-03,-1.13102194417286e+01
1.00330033003300e+05	-3.32000657389737e-03,-1.13132634198828e+01
1.00340034003400e+05	-3.32137627317440e-03,-1.13163089271466e+01
