f,z10r,z10i
1.00000000000000e+05,-3.89915796382726e-02,3.67514213643672e+00
1.00010001000100e+05,-3.88586831184685e-02,3.62585788634770e+00
1.00020002000200e+05,-3.87270735059958e-02,3.57674479839234e+00
1.00030003000300e+05,-3.85967379889682e-02,3.52780124532647e+00
1.00040004000400e+05,-3.84676639330600e-02,3.47902561606206e+00
1.00050005000500e+05,-3.83398388786970e-02,3.43041631544436e+00
1.00060006000600e+05,-3.82132505383002e-02,3.38197176403202e+00
1.00070007000700e+05,-3.80878867935808e-02,3.33369039788127e+00
1.00080008000800e+05,-3.79637356928880e-02,3.28557066833362e+00
1.00090009000900e+05,-3.78407854486014e-02,3.23761104180547e+00
1.00100010001000e+05,-3.77190244345778e-02,3.18980999958308e+00
1.00110011001100e+05,-3.75984411836413e-02,3.14216603761910e+00
1.00120012001200e+05,-3.74790243851213e-02,3.09467766633309e+00
1.00130013001300e+05,-3.73607628824361e-02,3.04734341041470e+00
1.00140014001400e+05,-3.72436456707202e-02,3.00016180863008e+00
1.00150015001500e+05,-3.71276618944967e-02,2.95313141363144e+00
1.00160016001600e+05,-3.70128008453910e-02,2.90625079176912e+00
1.00170017001700e+05,-3.68990519598863e-02,2.85951852290653e+00
1.00180018001800e+05,-3.67864048171216e-02,2.81293320023853e+00
1.00190019001900e+05,-3.66748491367281e-02,2.76649343011194e+00
1.00200020002000e+05,-3.65643747767057e-02,2.72019783184881e+00
1.00210021002100e+05,-3.64549717313385e-02,2.67404503757284e+00
1.00220022002200e+05,-3.63466301291466e-02,2.62803369203778e+00
1.00230023002300e+05,-3.62393402308759e-02,2.58216245245875e+00
1.00240024002400e+05,-3.61330924275245e-02,2.53642998834634e+00
1.00250025002500e+05,-3.60278772384028e-02,2.49083498134218e+00
1.00260026002600e+05,-3.59236853092301e-02,2.44537612505829e+00
1.00270027002700e+05,-3.58205074102656e-02,2.40005212491820e+00
1.00280028002800e+05,-3.57183344344697e-02,2.35486169799968e+00
1.00290029002900e+05,-3.56171573957021e-02,2.30980357288123e+00
1.00300030003000e+05,-3.55169674269484e-02,2.26487648948950e+00
1.00310031003100e+05,-3.54177557785808e-02,2.22007919894982e+00
1.00320032003200e+05,-3.53195138166481e-02,2.17541046343859e+00
1.00330033003300e+05,-3.52222330211965e-02,2.13086905603791e+00
1.00340034003400e+05,-3.51259049846188e-02,2.08645376059178e+00
1.00350035003500e+05,-3.50305214100347e-02,2.04216337156525e+00
1.00360036003600e+05,-3.49360741096977e-02,1.99799669390511e+00
1.00370037003700e+05,-3.48425550034308e-02,1.95395254290250e+00
1.00380038003800e+05,-3.47499561170893e-02,1.91002974405763e+00
1.00390039003900e+05,-3.46582695810503e-02,1.86622713294674e+00
1.00400040004000e+05,-3.45674876287287e-02,1.82254355509016e+00
1.00410041004100e+05,-3.44776025951187e-02,1.77897786582300e+00
1.00420042004200e+05,-3.43886069153609e-02,1.73552893016740e+00
1.00430043004300e+05,-3.43004931233337e-02,1.69219562270632e+00
1.00440044004400e+05,-3.42132538502697e-02,1.64897682745959e+00
