f,z10r,z10i
1.00000000000000e+05,-2.14432584393312e-01,-3.17400171898324e+01
1.00010001000100e+05,-2.19846351108961e-01,-3.20096428719693e+01
1.00020002000200e+05,-2.25480035585907e-01,-3.22861792583652e+01
1.00030003000300e+05,-2.31345685215351e-01,-3.25699093060742e+01
1.00040004000400e+05,-2.37456184661976e-01,-3.28611315851106e+01
1.00050005000500e+05,-2.43825326672345e-01,-3.31601613711073e+01
1.00060006000600e+05,-2.50467889969867e-01,-3.34673318310208e+01
1.00070007000700e+05,-2.57399725058423e-01,-3.37829953112505e+01
1.00080008000800e+05,-2.64637848865887e-01,-3.41075247386461e+01
1.00090009000900e+05,-2.72200549284160e-01,-3.44413151461262e+01
1.00100010001000e+05,-2.80107500805704e-01,-3.47847853360042e+01
1.00110011001100e+05,-2.88379892624025e-01,-3.51383796957726e+01
1.00120012001200e+05,-2.97040570757017e-01,-3.55025701828810e+01
1.00130013001300e+05,-3.06114195975467e-01,-3.58778584971492e+01
1.00140014001400e+05,-3.15627419577805e-01,-3.62647784618388e+01
1.00150015001500e+05,-3.25609079353524e-01,-3.66638986371381e+01
1.00160016001600e+05,-3.36090418429534e-01,-3.70758251929659e+01
1.00170017001700e+05,-3.47105330104885e-01,-3.75012050716117e+01
1.00180018001800e+05,-3.58690632261344e-01,-3.79407294748927e+01
1.00190019001900e+05,-3.70886375504836e-01,-3.83951377153622e+01
1.00200020002000e+05,-3.83736189860579e-01,-3.88652214766770e+01
1.00210021002100e+05,-3.97287675634548e-01,-3.93518295347386e+01
1.00220022002200e+05,-4.11592844990682e-01,-3.98558729988134e+01
1.00230023002300e+05,-4.26708621905596e-01,-4.03783311406712e+01
1.00240024002400e+05,-4.42697409490239e-01,-4.09202578901576e+01
1.00250025002500e+05,-4.59627735255878e-01,-4.14827890878137e+01
1.00260026002600e+05,-4.77574986806231e-01,-4.20671505994627e+01
1.00270027002700e+05,-4.96622252733270e-01,-4.26746674146872e+01
1.00280028002800e+05,-5.16861286267328e-01,-4.33067738712193e+01
1.00290029002900e+05,-5.38393612593843e-01,-4.39650251711261e+01
1.00300030003000e+05,-5.61331804847082e-01,-4.46511103832967e+01
1.00310031003100e+05,-5.85800958794314e-01,-4.53668671608297e+01
1.00320032003200e+05,-6.11940402370249e-01,-4.61142984430652e+01
1.00330033003300e+05,-6.39905683794892e-01,-4.68955914615580e+01
1.00340034003400e+05,-6.69870891387697e-01,-4.77131394293769e+01
1.00350035003500e+05,-7.02031369857529e-01,-4.85695663661647e+01
1.00360036003600e+05,-7.36606912436647e-01,-4.94677556007520e+01
1.00370037003700e+05,-7.73845526555104e-01,-5.04108826027160e+01
1.00380038003800e+05,-8.14027893908086e-01,-5.14024529295184e+01
1.00390039003900e+05,-8.57472675186176e-01,-5.24463462434873e+01
1.00400040004000e+05,-9.04542847332935e-01,-5.35468675618466e+01
1.00410041004100e+05,-9.55653309531944e-01,-5.47088071647299e+01
1.00420042004200e+05,-1.01128005669029e+00,-5.59375109160966e+01
1.00430043004300e+05,-1.07197130071442e+00,-5.72389631708623e+01
1.00440044004400e+05,-1.13836102688823e+00,-5.86198849755207e+01
1.00450045004500e+05,-1.21118561421026e+00,-6.00878509557530e+01
1.00460046004600e+05,-1.29130433728121e+00,-6.16514291725935e+01
1.00470047004700e+05,-1.37972482115323e+00,-6.33203493868685e+01
1.00480048004800e+05,-1.47763486502901e+00,-6.51057066944164e+01
1.00490049004900e+05,-1.58644252273199e+00,-6.70202095136397e+01
1.00500050005000e+05,-1.70782698141512e+00,-6.90784836090094e+01
1.00510051005100e+05,-1.84380369483276e+00,-7.12974474854554e+01
1.00520052005200e+05,-1.99680852331240e+00,-7.36967794740735e+01
1.00530053005300e+05,-2.16980749134666e+00,-7.62995037138360e+01
1.00540054005400e+05,-2.36644147651366e+00,-7.91327318538158e+01
1.00550055005500e+05,-2.59121913161377e+00,-8.22286109187773e+01
1.00560056005600e+05,-2.84977732088854e+00,-8.56255473292812e+01
1.00570057005700e+05,-3.14923747068547e+00,-8.93698055564083e+01
1.00580058005800e+05,-3.49870040826810e+00,-9.35176220963001e+01
1.00590059005900e+05,-3.90994474790670e+00,-9.81380391053328e+01
1.00600060006000e+05,-4.39843037060027e+00,-1.03316759946761e+02
1.00610061006100e+05,-4.98476924701532e+00,-1.09161482779433e+02
1.00620062006200e+05,-5.69692967960674e+00,-1.15809415993042e+02
1.00630063006300e+05,-6.57362320040885e+00,-1.23438088609092e+02
1.00640064006400e+05,-7.66965790470733e+00,-1.32281265456846e+02
1.00650065006500e+05,-9.06467759022654e+00,-1.42653002644240e+02
1.00660066006600e+05,-1.08779691906105e+01,-1.54985117281214e+02
1.00670067006700e+05,-1.32946650510983e+01,-1.69887610204676e+02
1.00680068006800e+05,-1.66145474973143e+01,-1.88250108201184e+02
1.00690069006900e+05,-2.13487175802634e+01,-2.11420413058751e+02
1.00700070007000e+05,-2.84260113679488e+01,-2.41536802739098e+02
1.00710071007100e+05,-3.96771602643568e+01,-2.82188647963900e+02
1.00720072007200e+05,-5.91160714891515e+01,-3.39833768715026e+02
1.00730073007300e+05,-9.69199998629250e+01,-4.27085552420473e+02
1.00740074007400e+05,-1.84830847166693e+02,-5.70431849724023e+02
1.00750075007500e+05,-4.55667245016900e+02,-8.14596553497595e+02
1.00760076007600e+05,-1.48959591617730e+03,-7.61337693810723e+02
1.00770077007700e+05,-1.18873116553227e+03,8.83726699550519e+02
1.00780078007800e+05,-3.69713020199769e+02,7.30456513496757e+02
1.00790079007900e+05,-1.59684855381164e+02,5.08711989496806e+02
1.00800080008000e+05,-8.68510407812266e+01,3.79821306144449e+02
1.00810081008100e+05,-5.41722049576121e+01,3.00015985425109e+02
1.00820082008200e+05,-3.69015080567244e+01,2.46517723031235e+02
1.00830083008300e+05,-2.67150370591736e+01,2.08372778964567e+02
1.00840084008400e+05,-2.02192218425198e+01,1.79876147248942e+02
1.00850085008500e+05,-1.58288555870877e+01,1.57808914040585e+02
1.00860086008600e+05,-1.27251092708335e+01,1.40229819570437e+02
1.00870087008700e+05,-1.04510844676801e+01,1.25902966940295e+02
1.00880088008800e+05,-8.73578679891514e+00,1.14005868181431e+02
