f,z10r,z10i
1.00000000000000e+05,-2.16841628436449e-03,-5.07146776963430e+00
1.00010001000100e+05,-2.16970707539459e-03,-5.07368648174601e+00
1.00020002000200e+05,-2.17099962962559e-03,-5.07590664597546e+00
1.00030003000300e+05,-2.17229395050263e-03,-5.07812826442967e+00
1.00040004000400e+05,-2.17359004147989e-03,-5.08035133921983e+00
1.00050005000500e+05,-2.17488790602063e-03,-5.08257587246130e+00
1.00060006000600e+05,-2.17618754759726e-03,-5.08480186627362e+00
1.00070007000700e+05,-2.17748896969130e-03,-5.08702932278050e+00
1.00080008000800e+05,-2.17879217579344e-03,-5.08925824410987e+00
1.00090009000900e+05,-2.18009716940361e-03,-5.09148863239388e+00
1.00100010001000e+05,-2.18140395403095e-03,-5.09372048976889e+00
1.00110011001100e+05,-2.18271253319385e-03,-5.09595381837551e+00
1.00120012001200e+05,-2.18402291042003e-03,-5.09818862035857e+00
1.00130013001300e+05,-2.18533508924648e-03,-5.10042489786719e+00
1.00140014001400e+05,-2.18664907321961e-03,-5.10266265305476e+00
1.00150015001500e+05,-2.18796486589515e-03,-5.10490188807892e+00
1.00160016001600e+05,-2.18928247083828e-03,-5.10714260510162e+00
1.00170017001700e+05,-2.19060189162362e-03,-5.10938480628913e+00
1.00180018001800e+05,-2.19192313183525e-03,-5.11162849381202e+00
1.00190019001900e+05,-2.19324619506677e-03,-5.11387366984519e+00
1.00200020002000e+05,-2.19457108492131e-03,-5.11612033656787e+00
1.00210021002100e+05,-2.19589780501158e-03,-5.11836849616367e+00
1.00220022002200e+05,-2.19722635895986e-03,-5.12061815082051e+00
1.00230023002300e+05,-2.19855675039808e-03,-5.12286930273074e+00
1.00240024002400e+05,-2.19988898296783e-03,-5.12512195409107e+00
1.00250025002500e+05,-2.20122306032039e-03,-5.12737610710260e+00
1.00260026002600e+05,-2.20255898611678e-03,-5.12963176397087e+00
1.00270027002700e+05,-2.20389676402772e-03,-5.13188892690579e+00
1.00280028002800e+05,-2.20523639773379e-03,-5.13414759812175e+00
1.00290029002900e+05,-2.20657789092535e-03,-5.13640777983758e+00
1.00300030003000e+05,-2.20792124730260e-03,-5.13866947427653e+00
1.00310031003100e+05,-2.20926647057566e-03,-5.14093268366638e+00
1.00320032003200e+05,-2.21061356446453e-03,-5.14319741023934e+00
1.00330033003300e+05,-2.21196253269918e-03,-5.14546365623212e+00
1.00340034003400e+05,-2.21331337901956e-03,-5.14773142388595e+00
1.00350035003500e+05,-2.21466610717562e-03,-5.15000071544659e+00
1.00360036003600e+05,-2.21602072092736e-03,-5.15227153316431e+00
1.00370037003700e+05,-2.21737722404487e-03,-5.15454387929391e+00
1.00380038003800e+05,-2.21873562030836e-03,-5.15681775609478e+00
1.00390039003900e+05,-2.22009591350814e-03,-5.15909316583085e+00
1.00400040004000e+05,-2.22145810744475e-03,-5.16137011077063e+00
1.00410041004100e+05,-2.22282220592891e-03,-5.16364859318725e+00
1.00420042004200e+05,-2.22418821278160e-03,-5.16592861535839e+00
1.00430043004300e+05,-2.22555613183408e-03,-5.16821017956642e+00
1.00440044004400e+05,-2.22692596692792e-03,-5.17049328809827e+00
1.00450045004500e+05,-2.22829772191503e-03,-5.17277794324555e+00
1.00460046004600e+05,-2.22967140065770e-03,-5.17506414730453e+00
1.00470047004700e+05,-2.23104700702865e-03,-5.17735190257610e+00
1.00480048004800e+05,-2.23242454491105e-03,-5.17964121136589e+00
1.00490049004900e+05,-2.23380401819854e-03,-5.18193207598420e+00
1.00500050005000e+05,-2.23518543079529e-03,-5.18422449874602e+00
1.00510051005100e+05,-2.23656878661601e-03,-5.18651848197107e+00
1.00520052005200e+05,-2.23795408958600e-03,-5.18881402798379e+00
1.00530053005300e+05,-2.23934134364121e-03,-5.19111113911340e+00
1.00540054005400e+05,-2.24073055272822e-03,-5.19340981769384e+00
1.00550055005500e+05,-2.24212172080432e-03,-5.19571006606383e+00
1.00560056005600e+05,-2.24351485183752e-03,-5.19801188656688e+00
1.00570057005700e+05,-2.24490994980659e-03,-5.20031528155129e+00
1.00580058005800e+05,-2.24630701870113e-03,-5.20262025337019e+00
1.00590059005900e+05,-2.24770606252153e-03,-5.20492680438148e+00
1.00600060006000e+05,-2.24910708527910e-03,-5.20723493694796e+00
1.00610061006100e+05,-2.25051009099602e-03,-5.20954465343723e+00
1.00620062006200e+05,-2.25191508370545e-03,-5.21185595622179e+00
1.00630063006300e+05,-2.25332206745151e-03,-5.21416884767900e+00
1.00640064006400e+05,-2.25473104628934e-03,-5.21648333019109e+00
1.00650065006500e+05,-2.25614202428513e-03,-5.21879940614522e+00
1.00660066006600e+05,-2.25755500551617e-03,-5.22111707793345e+00
1.00670067006700e+05,-2.25896999407089e-03,-5.22343634795280e+00
1.00680068006800e+05,-2.26038699404887e-03,-5.22575721860519e+00
1.00690069006900e+05,-2.26180600956089e-03,-5.22807969229752e+00
1.00700070007000e+05,-2.26322704472899e-03,-5.23040377144167e+00
1.00710071007100e+05,-2.26465010368646e-03,-5.23272945845447e+00
1.00720072007200e+05,-2.26607519057794e-03,-5.23505675575780e+00
1.00730073007300e+05,-2.26750230955940e-03,-5.23738566577851e+00
1.00740074007400e+05,-2.26893146479820e-03,-5.23971619094849e+00
1.00750075007500e+05,-2.27036266047315e-03,-5.24204833370467e+00
