f,z10r,z10i
1.00510051005100e+05,-3.06072035693874e-02,-1.53439640003160e+01
1.00520052005200e+05,-3.06299608525857e-02,-1.53809120623933e+01
1.00530053005300e+05,-3.06626752631291e-02,-1.54178914981124e+01
1.00540054005400e+05,-3.07052408431705e-02,-1.54549147459431e+01
1.00550055005500e+05,-3.07575666886477e-02,-1.54919941195996e+01
1.00560056005600e+05,-3.08195764921754e-02,-1.55291418266637e+01
1.00570057005700e+05,-3.08912081369780e-02,-1.55663699866670e+01
1.00580058005800e+05,-3.09724133391621e-02,-1.56036906486906e+01
1.00590059005900e+05,-3.10631573359241e-02,-1.56411158085443e+01
1.00600060006000e+05,-3.11634186175766e-02,-1.56786574255799e+01
1.00610061006100e+05,-3.12731887015310e-02,-1.57163274391935e+01
1.00620062006200e+05,-3.13924719466176e-02,-1.57541377850673e+01
1.00630063006300e+05,-3.15212854063579e-02,-1.57921004112025e+01
1.00640064006400e+05,-3.16596587200065e-02,-1.58302272937893e+01
1.00650065006500e+05,-3.18076340403952e-02,-1.58685304529624e+01
1.00660066006600e+05,-3.19652659977967e-02,-1.59070219684871e+01
1.00670067006700e+05,-3.21326216992112e-02,-1.59457139954208e+01
1.00680068006800e+05,-3.23097807626627e-02,-1.59846187797937e+01
1.00690069006900e+05,-3.24968353862599e-02,-1.60237486743543e+01
1.00700070007000e+05,-3.26938904519477e-02,-1.60631161544198e+01
1.00710071007100e+05,-3.29010636640473e-02,-1.61027338338796e+01
1.00720072007200e+05,-3.31184857228392e-02,-1.61426144813912e+01
1.00730073007300e+05,-3.33463005336190e-02,-1.61827710368156e+01
1.00740074007400e+05,-3.35846654518171e-02,-1.62232166279363e+01
1.00750075007500e+05,-3.38337515649483e-02,-1.62639645875069e+01
1.00760076007600e+05,-3.40937440123247e-02,-1.63050284706756e+01
1.00770077007700e+05,-3.43648423436500e-02,-1.63464220728329e+01
1.00780078007800e+05,-3.46472609177903e-02,-1.63881594479333e+01
1.00790079007900e+05,-3.49412293432194e-02,-1.64302549273421e+01
1.00800080008000e+05,-3.52469929618276e-02,-1.64727231392601e+01
1.00810081008100e+05,-3.55648133779972e-02,-1.65155790287820e+01
1.00820082008200e+05,-3.58949690350775e-02,-1.65588378786470e+01
1.00830083008300e+05,-3.62377558416252e-02,-1.66025153307423e+01
1.00840084008400e+05,-3.65934878500238e-02,-1.66466274084228e+01
1.00850085008500e+05,-3.69624979903752e-02,-1.66911905397154e+01
