f,z10r,z10i
1.00000000000000e+05,-5.04652889653850e-03,-1.26437274891964e+01
1.00010001000100e+05,-5.05373896641460e-03,-1.26488096040571e+01
1.00020002000200e+05,-5.06098947279557e-03,-1.26539004233712e+01
1.00030003000300e+05,-5.06828080488778e-03,-1.26589999974041e+01
1.00040004000400e+05,-5.07561335700277e-03,-1.26641083769085e+01
1.00050005000500e+05,-5.08298752864161e-03,-1.26692256131313e+01
1.00060006000600e+05,-5.09040372458093e-03,-1.26743517578198e+01
1.00070007000700e+05,-5.09786235496073e-03,-1.26794868632283e+01
1.00080008000800e+05,-5.10536383537375e-03,-1.26846309821249e+01
1.00090009000900e+05,-5.11290858695704e-03,-1.26897841677986e+01
1.00100010001000e+05,-5.12049703648492e-03,-1.26949464740660e+01
1.00110011001100e+05,-5.12812961646410e-03,-1.27001179552783e+01
1.00120012001200e+05,-5.13580676523068e-03,-1.27052986663288e+01
1.00130013001300e+05,-5.14352892704905e-03,-1.27104886626602e+01
1.00140014001400e+05,-5.15129655221291e-03,-1.27156880002718e+01
1.00150015001500e+05,-5.15911009714828e-03,-1.27208967357275e+01
1.00160016001600e+05,-5.16697002451865e-03,-1.27261149261629e+01
1.00170017001700e+05,-5.17487680333242e-03,-1.27313426292940e+01
1.00180018001800e+05,-5.18283090905232e-03,-1.27365799034243e+01
1.00190019001900e+05,-5.19083282370733e-03,-1.27418268074536e+01
1.00200020002000e+05,-5.19888303600681e-03,-1.27470834008859e+01
1.00210021002100e+05,-5.20698204145707e-03,-1.27523497438379e+01
1.00220022002200e+05,-5.21513034248036e-03,-1.27576258970477e+01
1.00230023002300e+05,-5.22332844853640e-03,-1.27629119218832e+01
1.00240024002400e+05,-5.23157687624641e-03,-1.27682078803512e+01
1.00250025002500e+05,-5.23987614951989e-03,-1.27735138351064e+01
1.00260026002600e+05,-5.24822679968400e-03,-1.27788298494607e+01
1.00270027002700e+05,-5.25662936561560e-03,-1.27841559873919e+01
1.00280028002800e+05,-5.26508439387650e-03,-1.27894923135541e+01
1.00290029002900e+05,-5.27359243885111e-03,-1.27948388932868e+01
1.00300030003000e+05,-5.28215406288753e-03,-1.28001957926250e+01
1.00310031003100e+05,-5.29076983644137e-03,-1.28055630783090e+01
1.00320032003200e+05,-5.29944033822279e-03,-1.28109408177949e+01
1.00330033003300e+05,-5.30816615534678e-03,-1.28163290792647e+01
1.00340034003400e+05,-5.31694788348682e-03,-1.28217279316372e+01
1.00350035003500e+05,-5.32578612703167e-03,-1.28271374445785e+01
1.00360036003600e+05,-5.33468149924582e-03,-1.28325576885131e+01
1.00370037003700e+05,-5.34363462243344e-03,-1.28379887346353e+01
1.00380038003800e+05,-5.35264612810592e-03,-1.28434306549201e+01
1.00390039003900e+05,-5.36171665715315e-03,-1.28488835221352e+01
1.00400040004000e+05,-5.37084686001875e-03,-1.28543474098527e+01
1.00410041004100e+05,-5.38003739687905e-03,-1.28598223924611e+01
1.00420042004200e+05,-5.38928893782624e-03,-1.28653085451776e+01
1.00430043004300e+05,-5.39860216305561e-03,-1.28708059440606e+01
1.00440044004400e+05,-5.40797776305700e-03,-1.28763146660225e+01
1.00450045004500e+05,-5.41741643881065e-03,-1.28818347888425e+01
1.00460046004600e+05,-5.42691890198761e-03,-1.28873663911801e+01
1.00470047004700e+05,-5.43648587515451e-03,-1.28929095525882e+01
1.00480048004800e+05,-5.44611809198335e-03,-1.28984643535272e+01
1.00490049004900e+05,-5.45581629746589e-03,-1.29040308753788e+01
1.00500050005000e+05,-5.46558124813307e-03,-1.29096092004603e+01
1.00510051005100e+05,-5.47541371227972e-03,-1.29151994120392e+01
1.00520052005200e+05,-5.48531447019418e-03,-1.29208015943480e+01
1.00530053005300e+05,-5.49528431439366e-03,-1.29264158325994e+01
1.00540054005400e+05,-5.50532404986488e-03,-1.29320422130016e+01
1.00550055005500e+05,-5.51543449431057e-03,-1.29376808227740e+01
1.00560056005600e+05,-5.52561647840168e-03,-1.29433317501634e+01
1.00570057005700e+05,-5.53587084603568e-03,-1.29489950844603e+01
1.00580058005800e+05,-5.54619845460102e-03,-1.29546709160156e+01
1.00590059005900e+05,-5.55660017524791e-03,-1.29603593362575e+01
1.00600060006000e+05,-5.56707689316567e-03,-1.29660604377090e+01
1.00610061006100e+05,-5.57762950786676e-03,-1.29717743140055e+01
1.00620062006200e+05,-5.58825893347762e-03,-1.29775010599131e+01
1.00630063006300e+05,-5.59896609903678e-03,-1.29832407713466e+01
1.00640064006400e+05,-5.60975194880008e-03,-1.29889935453888e+01
1.00650065006500e+05,-5.62061744255352e-03,-1.29947594803095e+01
1.00660066006600e+05,-5.63156355593372e-03,-1.30005386755850e+01
1.00670067006700e+05,-5.64259128075638e-03,-1.30063312319183e+01
1.00680068006800e+05,-5.65370162535290e-03,-1.30121372512594e+01
1.00690069006900e+05,-5.66489561491531e-03,-1.30179568368261e+01
1.00700070007000e+05,-5.67617429184990e-03,-1.30237900931256e+01
1.00710071007100e+05,-5.68753871613985e-03,-1.30296371259756e+01
1.00720072007200e+05,-5.69898996571683e-03,-1.30354980425273e+01
1.00730073007300e+05,-5.71052913684209e-03,-1.30413729512874e+01
1.00740074007400e+05,-5.72215734449725e-03,-1.30472619621416e+01
1.00750075007500e+05,-5.73387572278512e-03,-1.30531651863782e+01
1.00760076007600e+05,-5.74568542534072e-03,-1.30590827367120e+01
1.00770077007700e+05,-5.75758762575294e-03,-1.30650147273094e+01
1.00780078007800e+05,-5.76958351799712e-03,-1.30709612738131e+01
1.00790079007900e+05,-5.78167431687877e-03,-1.30769224933683e+01
1.00800080008000e+05,-5.79386125848901e-03,-1.30828985046488e+01
1.00810081008100e+05,-5.80614560067179e-03,-1.30888894278840e+01
1.00820082008200e+05,-5.81852862350337e-03,-1.30948953848861e+01
1.00830083008300e+05,-5.83101162978476e-03,-1.31009164990786e+01
1.00840084008400e+05,-5.84359594554683e-03,-1.31069528955247e+01
1.00850085008500e+05,-5.85628292056906e-03,-1.31130047009568e+01
1.00860086008600e+05,-5.86907392891213e-03,-1.31190720438065e+01
1.00870087008700e+05,-5.88197036946478e-03,-1.31251550542352e+01
1.00880088008800e+05,-5.89497366650558e-03,-1.31312538641657e+01
1.00890089008900e+05,-5.90808527027950e-03,-1.31373686073140e+01
1.00900090009000e+05,-5.92130665759066e-03,-1.31434994192223e+01
1.00910091009100e+05,-5.93463933241095e-03,-1.31496464372927e+01
1.00920092009200e+05,-5.94808482650533e-03,-1.31558098008213e+01
1.00930093009300e+05,-5.96164470007452e-03,-1.31619896510333e+01
1.00940094009400e+05,-5.97532054241541e-03,-1.31681861311193e+01
1.00950095009500e+05,-5.98911397259964e-03,-1.31743993862718e+01
1.00960096009600e+05,-6.00302664017135e-03,-1.31806295637231e+01
1.00970097009700e+05,-6.01706022586439e-03,-1.31868768127834e+01
1.00980098009800e+05,-6.03121644233967e-03,-1.31931412848809e+01
1.00990099009900e+05,-6.04549703494336e-03,-1.31994231336015e+01
1.01000100010000e+05,-6.05990378248677e-03,-1.32057225147309e+01
1.01010101010100e+05,-6.07443849804807e-03,-1.32120395862959e+01
1.01020102010200e+05,-6.08910302979755e-03,-1.32183745086091e+01
1.01030103010300e+05,-6.10389926184617e-03,-1.32247274443120e+01
1.01040104010400e+05,-6.11882911511878e-03,-1.32310985584213e+01
1.01050105010500e+05,-6.13389454825269e-03,-1.32374880183754e+01
1.01060106010600e+05,-6.14909755852250e-03,-1.32438959940818e+01
1.01070107010700e+05,-6.16444018279183e-03,-1.32503226579661e+01
1.01080108010800e+05,-6.17992449849339e-03,-1.32567681850225e+01
